airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
21 AIR,2,1.0,0.5,0.0,0.0,0
247 AVIATION,4,3.0,0.75,0.0,0.0,0
2EXCEL AVIATION,24,12.0,0.5,0.0,0.0,0
30 WEST JETS,1,1.0,1.0,0.0,0.0,0
4AIRWAYS,3,2.0,0.6666666666666666,0.0,0.0,0
748 AIR SERVICES,7,4.0,0.5714285714285714,0.0,0.0,0
7AIR CARGO,3,3.0,1.0,0.0,0.0,0
9 AIR,27,5.0,0.1851851851851851,0.014814815,0.1851851851851852,0
ABAKAN AIR,5,3.0,0.6,0.0,0.0,0
ABU DHABI AVIATION,14,7.0,0.5,0.0,0.0,0
ABX AIR,11,5.0,0.4545454545454545,0.0,0.0,0
ACASS IRELAND,2,2.0,1.0,0.0,0.0,0
ADVANCED AIR,23,13.0,0.5652173913043478,0.0,0.0,0
ADVANCED FLIGHT TRAINING,5,5.0,1.0,0.0,0.0,0
AEGEAN AIRLINES,68,4.0,0.0588235294117647,0.005882353,0.5294117647058824,1
AEGEAN EXECUTIVE,2,2.0,1.0,0.0,0.0,0
AER LINGUS,80,7.0,0.0875,0.005,0.225,0
AERCARIBE CARGO,4,3.0,0.75,0.0,0.0,0
AERO,12,6.0,0.5,0.0,0.0,0
AERO ASAHI,39,14.0,0.358974358974359,0.0,0.0,0
AERO CHARTER,13,10.0,0.7692307692307693,0.0,0.0,0
AERO CHARTER AND TRANSPORT,2,1.0,0.5,0.0,0.0,0
AERO CLUBE DE COIMBRA,1,1.0,1.0,0.0,0.0,0
AERO COATL MEXICANO,1,1.0,1.0,0.0,0.0,0
AERO DILI,2,2.0,1.0,0.0,0.0,0
AERO K,7,2.0,0.2857142857142857,0.0,0.0,0
AERO MONGOLIA,5,3.0,0.6,0.0,0.0,0
AERO NOMAD,2,1.0,0.5,0.0,0.0,0
AERO SOTRAVIA,5,4.0,0.8,0.0,0.0,0
AERO TAK,1,1.0,1.0,0.0,0.0,0
AERO WAYS,6,5.0,0.8333333333333334,0.0,0.0,0
AERO-BETA FLIGHT TRAINING,12,8.0,0.6666666666666666,0.0,0.0,0
AERO-DIENST,5,3.0,0.6,0.0,0.0,0
AERO-TECH SERVICES,4,4.0,1.0,0.0,0.0,0
AEROCLUB BARCELONA-SABADELL,14,10.0,0.7142857142857143,0.0,0.0,0
AERODYNAMICS ACADEMY,17,3.0,0.1764705882352941,0.0,0.0,0
AEROFLOT,169,10.0,0.059171597633136,0.004733728,0.0887573964497041,0
AEROGUARD FLIGHT TRAINING CENTER,113,5.0,0.0442477876106194,0.0,0.0,0
AEROITALIA,13,10.0,0.7692307692307693,0.0,0.0,0
AEROLINEAS ARGENTINAS,84,17.0,0.2023809523809523,0.004761905,0.1428571428571428,0
AEROLINEAS EJECUTIVAS,26,8.0,0.3076923076923077,0.0,0.0,0
AEROLINEAS SOSA,4,3.0,0.75,0.0,0.0,0
AEROLOGIC,14,4.0,0.2857142857142857,0.0,0.0,0
AEROMAS,2,2.0,1.0,0.0,0.0,0
AEROMEXICO,125,9.0,0.072,0.0128,0.728,1
AEROMEXICO CONNECT,36,2.0,0.0555555555555555,0.0,0.0,0
AERONAVES TSM,97,43.0,0.4432989690721649,0.0,0.0,0
AEROPAPA,1,1.0,1.0,0.0,0.0,0
AEROPARTNER,9,5.0,0.5555555555555556,0.0,0.0,0
AEROPYRENEES,13,10.0,0.7692307692307693,0.0,0.0,0
AEROREGIONAL,4,3.0,0.75,0.0,0.0,0
AEROSAFIN,3,3.0,1.0,0.0,0.0,0
AEROSERVICIOS DE LA COSTA,8,3.0,0.375,0.0,0.0,0
AEROSTAN,3,3.0,1.0,0.0,0.0,0
AEROSUCRE,7,7.0,1.0,0.0,0.0,0
AEROTEC,13,9.0,0.6923076923076923,0.0,0.0,0
AEROTOURS,3,3.0,1.0,0.0,0.0,0
AEROTRANSCARGO,3,2.0,0.6666666666666666,0.0,0.0,0
AEROTURPIAL,2,2.0,1.0,0.0,0.0,0
AEROVIAS DAP,11,6.0,0.5454545454545454,0.0,0.0,0
AEROVIS AIRLINES,1,1.0,1.0,0.0,0.0,0
AEROWAYS,11,7.0,0.6363636363636364,0.0,0.0,0
AEROWEST,13,5.0,0.3846153846153846,0.0,0.0,0
AERUS,7,1.0,0.1428571428571428,0.0,0.0,0
AFRICA AIRLINES,2,2.0,1.0,0.0,0.0,0
AFRICA CHARTER AIRLINE,6,5.0,0.8333333333333334,0.0,0.0,0
AFRICA WORLD AIRLINES,8,1.0,0.125,0.0,0.0,0
AFRICAN EXPRESS AIRWAYS,2,2.0,1.0,0.0,0.0,0
AFRIJET,5,2.0,0.4,0.0,0.0,0
AFRIQIYAH AIRWAYS,9,4.0,0.4444444444444444,0.0,0.0,0
AIMS COMMUNITY COLLEGE AVIATION,18,3.0,0.1666666666666666,0.0,0.0,0
AIR 1ST AVIATION,2,2.0,1.0,0.0,0.0,0
AIR ADELPHI,5,1.0,0.2,0.0,0.0,0
AIR ALBANIA,1,1.0,1.0,0.0,0.0,0
AIR ALGERIE,56,8.0,0.1428571428571428,0.0,0.0,0
AIR ALLIANCE,8,7.0,0.875,0.0,0.0,0
AIR ALSIE,4,3.0,0.75,0.0,0.0,0
AIR ANTILLES,5,3.0,0.6,0.0,0.0,0
AIR ARABIA,77,4.0,0.0519480519480519,0.0,0.0779220779220779,0
AIR ASTANA,34,6.0,0.1764705882352941,0.023529412,0.8235294117647058,1
AIR ASTRA,4,1.0,0.25,0.0,0.0,0
AIR ATLANTA ICELANDIC,1,1.0,1.0,0.0,0.0,0
AIR AUSTRAL,7,3.0,0.4285714285714285,0.142857143,0.5714285714285714,1
AIR BALTIC,50,1.0,0.02,0.012,1.0,1
AIR BOHEMIA,4,4.0,1.0,0.0,0.0,0
AIR BOREALIS,9,1.0,0.1111111111111111,0.0,0.0,0
AIR BOTSWANA,6,4.0,0.6666666666666666,0.0,0.0,0
AIR BURKINA,3,3.0,1.0,0.0,0.0,0
AIR BUSAN,21,4.0,0.1904761904761904,0.0,0.3809523809523809,1
AIR CA TE D'IVOIRE,12,0.0,0.0,0.0,0.0833333333333333,0
AIR CAIRO,37,4.0,0.1081081081081081,0.010810811,0.4864864864864865,1
AIR CALEDONIE,4,1.0,0.25,0.0,0.0,0
AIR CAMBODIA,6,4.0,0.6666666666666666,0.0,0.0,0
AIR CANADA,319,18.0,0.0564263322884012,0.005642633,0.3887147335423197,1
AIR CANADA ROUGE,37,4.0,0.1081081081081081,0.0,0.0,0
