airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
21 AIR,2,1,0.5,0,0,0,0,0,0,0,0,0,0
247 AVIATION,4,3,0.75,0,0,0,0,0,0,0,0,0,0
2EXCEL AVIATION,24,12,0.5,0,0,0,0,0,0,0,0,0,0
30 WEST JETS,1,1,1,0,0,0,0,0,0,0,0,0,0
4AIRWAYS,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
748 AIR SERVICES,7,4,0.571428571,0,0,0,0,0,0,0,0,0,0
7AIR CARGO,3,3,1,0,0,0,0,0,0,0,0,0,0
9 AIR,27,5,0.185185185,0.014814815,0.185185185,0,0,0,0,0,0.037037037,0.037037037,0
ABAKAN AIR,5,3,0.6,0,0,0,0,0,0,0,0,0,0
ABU DHABI AVIATION,14,7,0.5,0,0,0,0,0,0,0,0,0,0
ABX AIR,11,5,0.454545455,0,0,0,0,0,0,0,0,0,0
ACASS IRELAND,2,2,1,0,0,0,0,0,0,0,0,0,0
ADVANCED AIR,23,13,0.565217391,0,0,0,0,0,0,0,0,0,0
ADVANCED FLIGHT TRAINING,5,5,1,0,0,0,0,0,0,0,0,0,0
AEGEAN AIRLINES,68,4,0.058823529,0.005882353,0.529411765,0,0,0,0,0.014705882,0,0.014705882,0
AEGEAN EXECUTIVE,2,2,1,0,0,0,0,0,0,0,0,0,0
AER LINGUS,80,7,0.0875,0.005,0.225,0,0,0,0,0.0125,0,0.0125,0
AERCARIBE CARGO,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AERO,12,6,0.5,0,0,0,0,0,0,0,0,0,0
AERO ASAHI,39,14,0.358974359,0,0,0,0,0,0,0,0,0,0
AERO CHARTER,13,10,0.769230769,0,0,0,0,0,0,0,0,0,0
AERO CHARTER AND TRANSPORT,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AERO CLUBE DE COIMBRA,1,1,1,0,0,0,0,0,0,0,0,0,0
AERO COATL MEXICANO,1,1,1,0,0,0,0,0,0,0,0,0,0
AERO DILI,2,2,1,0,0,0,0,0,0,0,0,0,0
AERO K,7,2,0.285714286,0,0,0,0,0,0,0,0,0,0
AERO MONGOLIA,5,3,0.6,0,0,0,0,0,0,0,0,0,0
AERO NOMAD,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AERO SOTRAVIA,5,4,0.8,0,0,0,0,0,0,0,0,0,0
AERO TAK,1,1,1,0,0,0,0,0,0,0,0,0,0
AERO WAYS,6,5,0.833333333,0,0,0,0,0,0,0,0,0,0
AERO-BETA FLIGHT TRAINING,12,8,0.666666667,0,0,0,0,0,0,0,0,0,0
AERO-DIENST,5,3,0.6,0,0,0,0,0,0,0,0,0,0
AERO-TECH SERVICES,4,4,1,0,0,0,0,0,0,0,0,0,0
AEROCLUB BARCELONA-SABADELL,14,10,0.714285714,0,0,0,0,0,0,0,0,0,0
AERODYNAMICS ACADEMY,17,3,0.176470588,0,0,0,0,0,0,0,0,0,0
AEROFLOT,169,10,0.059171598,0.004733728,0.088757396,0,0,0.00591716,0,0.00591716,0,0.00591716,0.00591716
AEROGUARD FLIGHT TRAINING CENTER,113,5,0.044247788,0,0,0,0,0,0,0,0,0,0
AEROITALIA,13,10,0.769230769,0,0,0,0,0,0,0,0,0,0
AEROLINEAS ARGENTINAS,84,17,0.202380952,0.004761905,0.142857143,0,0,0,0,0,0.011904762,0.011904762,0
AEROLINEAS EJECUTIVAS,26,8,0.307692308,0,0,0,0,0,0,0,0,0,0
AEROLINEAS SOSA,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AEROLOGIC,14,4,0.285714286,0,0,0,0,0,0,0,0,0,0
AEROMAS,2,2,1,0,0,0,0,0,0,0,0,0,0
AEROMEXICO,125,9,0.072,0.0128,0.728,0,0.016,0,0,0,0.016,0.016,0.016
AEROMEXICO CONNECT,36,2,0.055555556,0,0,0,0,0,0,0,0,0,0
AERONAVES TSM,97,43,0.443298969,0,0,0,0,0,0,0,0,0,0
AEROPAPA,1,1,1,0,0,0,0,0,0,0,0,0,0
AEROPARTNER,9,5,0.555555556,0,0,0,0,0,0,0,0,0,0
AEROPYRENEES,13,10,0.769230769,0,0,0,0,0,0,0,0,0,0
AEROREGIONAL,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AEROSAFIN,3,3,1,0,0,0,0,0,0,0,0,0,0
AEROSERVICIOS DE LA COSTA,8,3,0.375,0,0,0,0,0,0,0,0,0,0
AEROSTAN,3,3,1,0,0,0,0,0,0,0,0,0,0
AEROSUCRE,7,7,1,0,0,0,0,0,0,0,0,0,0
AEROTEC,13,9,0.692307692,0,0,0,0,0,0,0,0,0,0
AEROTOURS,3,3,1,0,0,0,0,0,0,0,0,0,0
AEROTRANSCARGO,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AEROTURPIAL,2,2,1,0,0,0,0,0,0,0,0,0,0
AEROVIAS DAP,11,6,0.545454545,0,0,0,0,0,0,0,0,0,0
AEROVIS AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
AEROWAYS,11,7,0.636363636,0,0,0,0,0,0,0,0,0,0
