airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
AIR BALTIC,50,0.02,0.012,v1,
AIR PREMIA,8,0.125,0.05,v1,
AKASA AIR,30,0.066666667,0.026666667,v1,
ARAJET,10,0.1,0.04,v1,
BUZZ,12,0.083333333,0.033333333,v1,
FRENCH BEE,6,0.333333333,0.133333333,v1,
KM MALTA AIRLINES,8,0.125,0.05,v1,
MALTA AIR,6,0.166666667,0.066666667,v1,
NORSE,11,0.090909091,0.036363636,v1,
PLAY,7,0.285714286,0.114285714,v1,
ROYAL BRUNEI AIRLINES,12,0.166666667,0.066666667,v1,
SKY AIRLINE,36,0.055555556,0.011111111,v1,
STARLUX,28,0.107142857,0.014285714,v1,
ZIPAIR,8,0.125,0.05,v1,
SALAMAIR,14,0.357142857,0.085714286,v1,
CORSAIR,10,0.2,0,v1,
FLAIR AIRLINES,20,0.1,0.02,v1,
FLYNAS,68,0.058823529,0.011764706,v1,
PEGASUS,126,0.047619048,0.003174603,v1,
FRONTIER AIRLINES,164,0.024390244,0.002439024,v1,
AIRBUS,887,0.03945885,0.00518602,v1,
AIR ASTANA,34,0.176470588,0.023529412,v1,
VIRGIN ATLANTIC,45,0.088888889,0.017777778,v1,
SCOOT,56,0.107142857,0.021428571,v1,
INDIGO,408,0.029411765,0.002941176,v1,
MARABU,10,0.2,0.04,v1,
BREEZE AIRWAYS,54,0.055555556,0.011111111,v1,
NEOS,18,0.222222222,0.044444444,v1,
JETSMART,49,0.06122449,0.008163265,v1,
AIR INDIA,191,0.062827225,0.008376963,v1,
OMAN AIR,32,0.15625,0.025,v1,
AEROMEXICO,125,0.072,0.0128,v1,
GULF AIR,43,0.139534884,0.018604651,v1,
SINGAPORE AIRLINES,154,0.045454545,0.007792208,v1,
AZORES AIRLINES,10,0.4,0.08,v1,
FLYDUBAI,91,0.032967033,0.008791209,v1,
WIZZ AIR,240,0.025,0.001666667,v1,
AIRCALIN,6,0.5,0.066666667,v1,
CYPRUS AIRWAYS,6,0.333333333,0.1,v1,
ITA AIRWAYS,102,0.107843137,0.023529412,v1,
LUFTHANSA CITY,11,0.181818182,0.036363636,v1,
QINGDAO AIRLINES,38,0.078947368,0.010526316,v1,
SPIRIT AIRLINES,196,0.020408163,0.002040816,v1,
FLYADEAL,45,0.133333333,0.008888889,v1,
SAS,134,0.082089552,0.005970149,v1,
VOLARIS,148,0.047297297,0.005405405,v1,
PORTER,75,0.026666667,0,v1,
LOONG AIR,74,0.067567568,0.005405405,v1,
AIR AUSTRAL,7,0.428571429,0.142857143,v1,
TAP AIR PORTUGAL,100,0.14,0.008,v1,
CEBU PACIFIC,92,0.076086957,0.004347826,v1,
ETIHAD AIRWAYS,103,0.126213592,0.019417476,v1,
AIR INDIA EXPRESS,114,0.070175439,0.007017544,v1,
PEACH,36,0.083333333,0.011111111,v1,
VIETNAM AIRLINES,92,0.065217391,0.02173913,v1,
AIR EUROPA,58,0.172413793,0.020689655,v1,
COLORFUL GUIZHOU AIRLINES,20,0.1,0.02,v1,
KUWAIT AIRWAYS,31,0.193548387,0.012903226,v1,
HELVETIC AIRWAYS,22,0.181818182,0,v1,
ICELANDAIR,46,0.239130435,0.017391304,v1,
AIR CARAIBES,13,0.307692308,0.061538462,v1,
HK EXPRESS,41,0.097560976,0.009756098,v1,
TUI FLY,126,0.095238095,0.00952381,v1,
ETHIOPIAN AIRLINES,143,0.13986014,0.013986014,v1,
AEGEAN AIRLINES,68,0.058823529,0.005882353,v1,
AIR TANZANIA,17,0.411764706,0.082352941,v1,
AIR MAURITIUS,12,0.416666667,0.033333333,v1,
BULGARIA AIR,14,0.357142857,0.085714286,v1,
COMLUX,6,0.833333333,0.166666667,v1,
IBEROJET,8,0.5,0.05,v1,
SWISS,94,0.117021277,0.017021277,v1,
AIR CAIRO,37,0.108108108,0.010810811,v1,
ALL NIPPON AIRWAYS,247,0.08097166,0.008097166,v1,
JAZEERA AIRWAYS,23,0.086956522,0.017391304,v1,
ROYAL JORDANIAN,40,0.35,0.02,v1,
AZUL,209,0.071770335,0.003827751,v1,
IRAQI AIRWAYS,28,0.321428571,0.05,v1,
QATAR AIRWAYS,263,0.068441065,0.007604563,v1,
JAPAN AIRLINES,151,0.052980132,0.010596026,v1,
GOL LINHAS AEREAS,125,0.072,0.0032,v1,
CARIBBEAN AIRLINES,20,0.15,0.02,v1,
SKY EXPRESS,29,0.206896552,0.027586207,v1,
JUNEYAO AIR,103,0.058252427,0.00776699,v1,
CAYMAN AIRWAYS,9,0.333333333,0.044444444,v1,
FLYARYSTAN,27,0.074074074,0.014814815,v1,
AIR TRANSAT,43,0.093023256,0,v1,
