airline,cluster,pc1,pc2
21 AIR,0,-0.405617585,-0.082353306
247 AVIATION,0,-0.457011977,-0.108947894
2EXCEL AVIATION,0,-0.366795018,0.163564872
30 WEST JETS,0,-0.521711566,-0.221462398
4AIRWAYS,0,-0.440966721,-0.107145667
748 AIR SERVICES,0,-0.411846495,-0.036158833
7AIR CARGO,0,-0.515194317,-0.179086586
9 AIR,0,1.364689277,-0.735291637
ABAKAN AIR,0,-0.421994293,-0.066397362
ABU DHABI AVIATION,0,-0.384441639,0.051783882
ABX AIR,0,-0.380700199,0.020779851
ACASS IRELAND,0,-0.518452942,-0.200274492
ADVANCED AIR,0,-0.379185177,0.164423915
ADVANCED FLIGHT TRAINING,0,-0.508677067,-0.136710775
AEGEAN AIRLINES,0,1.402778024,0.002181798
AEGEAN EXECUTIVE,0,-0.518452942,-0.200274492
AER LINGUS,0,0.658790614,0.012519842
AERCARIBE CARGO,0,-0.457011977,-0.108947894
AERO,0,-0.387970964,0.029427684
AERO ASAHI,0,-0.324090568,0.260034861
AERO CHARTER,0,-0.438114946,0.036398615
AERO CHARTER AND TRANSPORT,0,-0.405617585,-0.082353306
AERO CLUBE DE COIMBRA,0,-0.521711566,-0.221462398
AERO COATL MEXICANO,0,-0.521711566,-0.221462398
AERO DILI,0,-0.518452942,-0.200274492
AERO K,0,-0.351637613,0.002625254
AERO MONGOLIA,0,-0.421994293,-0.066397362
AERO NOMAD,0,-0.405617585,-0.082353306
AERO SOTRAVIA,0,-0.46533568,-0.101554068
AERO TAK,0,-0.521711566,-0.221462398
AERO WAYS,0,-0.469798607,-0.089562216
AERO-BETA FLIGHT TRAINING,0,-0.420602874,0.023486644
AERO-DIENST,0,-0.421994293,-0.066397362
AERO-TECH SERVICES,0,-0.511935692,-0.15789868
AEROCLUB BARCELONA-SABADELL,0,-0.425116413,0.052725237
AERODYNAMICS ACADEMY,0,-0.320636765,0.064466116
AEROFLOT,0,0.362165703,0.528217424
AEROGUARD FLIGHT TRAINING CENTER,0,-0.258044794,0.253139232
AEROITALIA,0,-0.438114946,0.036398615
AEROLINEAS ARGENTINAS,0,0.457214283,0.173314049
AEROLINEAS EJECUTIVAS,0,-0.333657903,0.138877155
AEROLINEAS SOSA,0,-0.457011977,-0.108947894
AEROLOGIC,0,-0.343766866,0.050842526
AEROMAS,0,-0.518452942,-0.200274492
AEROMEXICO,0,2.416674852,0.778550486
AEROMEXICO CONNECT,0,-0.290471846,0.100002286
